Tenor,HTT,HOUBR,CLBR,WDF,LH
H6,100.0,300.0,0.0,0.0,753.0
J6,0.0,-300.0,-268.0004,-105.0,0.0
K6,-574.0,-1300.0,0.0,0.0,0.0
M6,0.0,1300.0,0.0,0.0,0.0
N6,-466.6666666666667,0.0,300.0,40.0,333.3333333333333
Q6,-466.6666666666667,0.0,0.0,40.0,333.3333333333333
U6,-466.6666666666667,0.0,850.0,40.0,333.3333333333333
Z6,483.33333333333337,0.0,100.0,0.0,0.0
V6,483.33333333333337,0.0,-850.0,0.0,0.0
X6,483.33333333333337,0.0,0.0,0.0,0.0
F7,2.083333333333334,64.58333333333334,0.0,0.0,-274.1666666666667
G7,2.083333333333334,64.58333333333334,0.0,0.0,-274.1666666666667
H7,2.083333333333334,64.58333333333334,0.0,0.0,-274.1666666666667
J7,-14.583333333333334,-2.0833333333333335,0.0,0.0,15.833333333333334
K7,-14.583333333333334,-2.0833333333333335,0.0,0.0,15.833333333333334
M7,-14.583333333333334,-2.0833333333333335,0.0,0.0,15.833333333333334
N7,-14.583333333333334,-2.0833333333333335,0.0,0.0,15.833333333333334
Q7,-14.583333333333334,-2.0833333333333335,0.0,0.0,15.833333333333334
U7,-14.583333333333334,-2.0833333333333335,0.0,0.0,15.833333333333334
Z7,-14.583333333333334,-2.0833333333333335,-100.0,0.0,15.833333333333334
V7,-14.583333333333334,-2.0833333333333335,0.0,0.0,15.833333333333334
X7,-14.583333333333334,-2.0833333333333335,0.0,0.0,15.833333333333334
F8,8.333333333333334,0.0,0.0,0.0,0.0
G8,8.333333333333334,0.0,0.0,0.0,0.0
H8,8.333333333333334,0.0,0.0,0.0,0.0
J8,8.333333333333334,0.0,0.0,0.0,0.0
K8,8.333333333333334,0.0,0.0,0.0,0.0
M8,8.333333333333334,0.0,0.0,0.0,0.0
N8,8.333333333333334,0.0,0.0,0.0,0.0
Q8,8.333333333333334,0.0,0.0,0.0,0.0
U8,8.333333333333334,0.0,0.0,0.0,0.0
Z8,8.333333333333334,0.0,0.0,0.0,0.0
V8,8.333333333333334,0.0,0.0,0.0,0.0
X8,8.333333333333334,0.0,0.0,0.0,0.0
