Qty,Tenor,Product,Strategy,MC_to_total
100.0,H6,HTT,HTT_Front,-2860.081791427063
-574.0,K6,HTT,HTT_Mid,16416.869482794667
-75.0,Cal27,HTT,HTT_Back,5510.0051518725195
100.0,H2-26,HTT,HTT_Back,5510.0051518725195
300.0,H6/J6,HOUBR_Cross,HOUBR_Front,8.70063790024242e-08
-25.0,Cal27,HOUBR,HOUBR_Back,21552.570271046905
31.9996,J6,CLBR,HOUBR_Back,-2186.8696102747713
200.0,Q4-26,HOUBR,HOUBR_Back,21552.570271046905
-1400.0,Q2-26/Q3-26,HTT Rolls,HTT_Rolls,176513.36577185977
-100.0,Cal27/Cal28,HTT Rolls,HTT_Rolls,176513.36577185977
-1300.0,K6/M6,HOUBR Boxes,HOUBR_rolls,3.0124408208578644e-07
-300.0,J6/N6,CLBR Boxes,HOUBR_rolls,35086.98464741704
100.0,Z6/Z7,CLBR Boxes,HOUBR_rolls,35086.98464741704
850.0,U6/V6,CLBR Boxes,HOUBR_rolls,35086.98464741704
-870.0,Q4-26,HTTMID,Longhorn,0.0
190.0,Cal27,HTTMID,Longhorn,0.0
753.0,H6,HTTMID,Longhorn,0.0
1000.0,Q2-26,HTTMID,Longhorn,0.0
-120.0,J6/Q2-26,WDF,Freight,0.0
15.0,J6,WDF,Freight,0.0
